source_taxon_name,source_taxon_path,source_taxon_path_ids,source_specimen_occurrence_id,source_specimen_institution_code,source_specimen_collection_code,source_specimen_catalog_number,source_specimen_life_stage_id,source_specimen_life_stage,source_specimen_physiological_state_id,source_specimen_physiological_state,source_specimen_body_part_id,source_specimen_body_part,source_specimen_sex_id,source_specimen_sex,source_specimen_basis_of_record,interaction_type,target_taxon_name,target_taxon_path,target_taxon_path_ids,target_specimen_occurrence_id,target_specimen_institution_code,target_specimen_collection_code,target_specimen_catalog_number,target_specimen_life_stage_id,target_specimen_life_stage,target_specimen_physiological_state_id,target_specimen_physiological_state,target_specimen_body_part_id,target_specimen_body_part,target_specimen_sex_id,target_specimen_sex,target_specimen_basis_of_record,latitude,longitude,event_date,study_citation,study_url,study_source_citation,study_source_archive_uri
Ophiocordyceps unilateralis,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Ascomycota | Sordariomycetes | Hypocreales | Ophiocordycipitaceae | Ophiocordyceps | Ophiocordyceps unilateralis,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5577 | EOL:2858320 | EOL:5645 | EOL:8564101 | EOL:6471306 | EOL:6471318,,,,,,,,,,,,,,hasParasite,Camponotus pennsylvanicus,Biota | Animalia | Arthropoda | Crustacea | Allotriocarida | Hexapoda | Insecta | Pterygota | Hymenoptera | Formicidae | Camponotus | Camponotus pennsylvanicus,WORMS:1 | WORMS:2 | WORMS:1065 | WORMS:1066 | WORMS:1598172 | WORMS:1278 | WORMS:1307 | WORMS:151152 | WORMS:151155 | WORMS:425369 | WORMS:1490351 | WORMS:1490353,,,,,,,,,,,,,,,,,https://speciesconnect.com/case/ophiocordyceps-unilateralis-parasitism-camponotus-pennsylvanicus/,https://speciesconnect.com/case/ophiocordyceps-unilateralis-parasitism-camponotus-pennsylvanicus/,Species Connect. https://speciesconnect.com,https://github.com/globalbioticinteractions/speciesconnect/archive/c3c6f45f0864cd9d7fb4f281f69669cc5516cbfd.zip
Aspergillus flavus,Biota | Fungi | Ascomycota | Pezizomycotina | Eurotiomycetes | Eurotiomycetidae | Eurotiales | Trichocomaceae | Aspergillus | Aspergillus flavus,WORMS:1 | WORMS:4 | WORMS:21891 | WORMS:437297 | WORMS:437258 | WORMS:178082 | WORMS:100010 | WORMS:100048 | WORMS:100211 | WORMS:826545,,,,,,,,,,,,,,pathogenOf,Anoplolepis gracilipes,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Anoplolepis | Anoplolepis gracilipes,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:34616 | EOL:470492,,,,,,,,,,,,,,,,,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,"Sarah E Miller. 12/13/2016. Species associations manually extracted from Onstad, D.W. EDWIP: Ecological Database of the World's Insect Pathogens. Champaign, Illinois: Illinois Natural History Survey, [23/11/2016]. http://insectweb.inhs.uiuc.edu/Pathogens/EDWIP.",https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Aphanocladium album,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Ascomycota | Sordariomycetes | Hypocreales | Nectriaceae | Aphanocladium | Aphanocladium album,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5577 | EOL:2858320 | EOL:5645 | EOL:46711631 | EOL:31565 | EOL:243076,,,,,,,,,,,,,,pathogenOf,Anoplolepis gracilipes,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Anoplolepis | Anoplolepis gracilipes,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:34616 | EOL:470492,,,,,,,,,,,,,,,,,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,"Sarah E Miller. 12/13/2016. Species associations manually extracted from Onstad, D.W. EDWIP: Ecological Database of the World's Insect Pathogens. Champaign, Illinois: Illinois Natural History Survey, [23/11/2016]. http://insectweb.inhs.uiuc.edu/Pathogens/EDWIP.",https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Isaria farinosa,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Ascomycota | Sordariomycetes | Hypocreales | Cordycipitaceae | Isaria | Isaria farinosa,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5577 | EOL:2858320 | EOL:5645 | EOL:8565449 | EOL:36823 | EOL:11500126,,,,,,,,,,,,,,pathogenOf,Anoplolepis gracilipes,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Anoplolepis | Anoplolepis gracilipes,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:34616 | EOL:470492,,,,,,,,,,,,,,,,,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,"Sarah E Miller. 12/13/2016. Species associations manually extracted from Onstad, D.W. EDWIP: Ecological Database of the World's Insect Pathogens. Champaign, Illinois: Illinois Natural History Survey, [23/11/2016]. http://insectweb.inhs.uiuc.edu/Pathogens/EDWIP.",https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Verticillium indicum,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Ascomycota | Sordariomycetes | Glomerellales | Plectosphaerellaceae | Verticillium | Verticillium indicum,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5577 | EOL:2858320 | EOL:20812761 | EOL:8563072 | EOL:31641 | EOL:6524889,,,,,,,,,,,,,,pathogenOf,Anoplolepis gracilipes,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Anoplolepis | Anoplolepis gracilipes,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:34616 | EOL:470492,,,,,,,,,,,,,,,,,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,"Sarah E Miller. 12/13/2016. Species associations manually extracted from Onstad, D.W. EDWIP: Ecological Database of the World's Insect Pathogens. Champaign, Illinois: Illinois Natural History Survey, [23/11/2016]. http://insectweb.inhs.uiuc.edu/Pathogens/EDWIP.",https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Leucocoprinus,Biota | Eukaryota | Fungi | Dikarya | Basidiomycota | Agaricomycotina | Agaricomycetes | Agaricomycetidae | Agaricales | Agaricaceae | Leucocoprinus,WD:Q2382443 | WD:Q19088 | WD:Q764 | WD:Q755714 | WD:Q174698 | WD:Q584822 | WD:Q27720 | WD:Q131868 | WD:Q221448 | WD:Q913614 | WD:Q1300898,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBAGA10892-15,,,,,,,,,,,,MATERIAL_SAMPLE,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,MATERIAL_SAMPLE,,,,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBAGA10892-15,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBAGA10892-15,The International Barcode of Life Consortium (2016). International Barcode of Life project (iBOL). Occurrence dataset https://doi.org/10.15468/inygc6,https://github.com/globalbioticinteractions/bold/archive/604c9ecdf7d88e61b645bb5f43532b7adc11bb4f.zip
Basidiomycota,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664,,,,,,,,,,,,,,interactsWith,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining.,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Escovopsis,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Ascomycota | Sordariomycetes | Hypocreales | unclassified Hypocreales | Escovopsis,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5577 | EOL:2858320 | EOL:5645 | EOL:52244108 | EOL:100237,,,,,,,,,,,,,,interactsWith,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining.,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Streptomyces,Life | Cellular Organisms | Bacteria | Actinobacteria | Streptomycetales | Streptomycetaceae | Streptomyces,EOL:2913056 | EOL:6061725 | EOL:288 | EOL:7861 | EOL:52177343 | EOL:7879 | EOL:83069,,,,,,,,,,,,,,interactsWith,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining.,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/49425502,http://www.ncbi.nlm.nih.gov/nuccore/49425502,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/3851051,http://www.ncbi.nlm.nih.gov/nuccore/3851051,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/3851050,http://www.ncbi.nlm.nih.gov/nuccore/3851050,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/3851049,http://www.ncbi.nlm.nih.gov/nuccore/3851049,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/3851048,http://www.ncbi.nlm.nih.gov/nuccore/3851048,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/3851047,http://www.ncbi.nlm.nih.gov/nuccore/3851047,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/3851046,http://www.ncbi.nlm.nih.gov/nuccore/3851046,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Leucoagaricus gongylophorus,Life | Cellular Organisms | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Leucoagaricus | Leucoagaricus gongylophorus,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:46702381 | EOL:46702383 | EOL:10594877 | EOL:5664 | EOL:2865511 | EOL:5676 | EOL:5966 | EOL:21455 | EOL:195811,,,,,,,,,,,,,,hasHost,Atta sexdens,Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Hymenoptera | Apocrita | Aculeata | Vespoidea | Formicidae | Atta | Atta sexdens,EOL:2913056 | EOL:6061725 | EOL:2908256 | EOL:2910700 | EOL:1 | EOL:3014411 | EOL:10459935 | EOL:8880788 | EOL:164 | EOL:10578120 | EOL:2634370 | EOL:344 | EOL:2634372 | EOL:1327472 | EOL:3016961 | EOL:648 | EOL:2717184 | EOL:2723467 | EOL:698 | EOL:699 | EOL:53197 | EOL:406378,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/3851045,http://www.ncbi.nlm.nih.gov/nuccore/3851045,"Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)",https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
